"Title","CPIH INDEX 04.5.2 : GAS 2015=100"
"1998 APR","31.4"
"1998 MAY","31.4"
"1998 JUN","31.3"
"1998 JUL","31.4"
"1998 AUG","31.4"
"1998 SEP","31.4"
"1998 OCT","31.4"
"1998 NOV","31.4"
"1998 DEC","31.4"
"1999 JAN","31.5"
"1999 FEB","31.5"
"1999 MAR","31.6"
"1999 APR","31.3"
"1999 MAY","31.3"
"1999 JUN","31.3"
"1999 JUL","31.3"
"1999 AUG","31.3"
"1999 SEP","31.3"
"1999 OCT","31.3"
"1999 NOV","31.3"
"1999 DEC","31.3"
"2000 JAN","31.3"
"2000 FEB","31.3"
"2000 MAR","31.3"
"2000 APR","30.5"
"2000 MAY","30.5"
"2000 JUN","30.5"
"2000 JUL","30.5"
"2000 AUG","30.5"
"2000 SEP","30.5"
"2000 OCT","30.6"
"2000 NOV","30.6"
"2000 DEC","30.6"
"2001 JAN","30.6"
"2001 FEB","30.7"
"2001 MAR","30.7"
"2001 APR","31.9"
"2001 MAY","32.0"
"2001 JUN","32.0"
"2001 JUL","32.0"
"2001 AUG","32.0"
"2001 SEP","32.0"
"2001 OCT","32.0"
"2001 NOV","32.0"
"2001 DEC","32.0"
"2002 JAN","33.4"
"2002 FEB","33.4"
"2002 MAR","33.5"
"2002 APR","33.6"
"2002 MAY","33.6"
"2002 JUN","33.7"
"2002 JUL","33.7"
"2002 AUG","33.7"
"2002 SEP","33.7"
"2002 OCT","33.7"
"2002 NOV","33.7"
"2002 DEC","33.8"
"2003 JAN","33.8"
"2003 FEB","33.8"
"2003 MAR","33.8"
"2003 APR","33.9"
"2003 MAY","34.1"
"2003 JUN","34.3"
"2003 JUL","34.4"
"2003 AUG","34.5"
"2003 SEP","34.5"
"2003 OCT","34.6"
"2003 NOV","34.7"
"2003 DEC","34.8"
"2004 JAN","35.0"
"2004 FEB","35.4"
"2004 MAR","35.9"
"2004 APR","36.2"
"2004 MAY","36.3"
"2004 JUN","36.4"
"2004 JUL","36.5"
"2004 AUG","36.6"
"2004 SEP","36.7"
"2004 OCT","37.2"
"2004 NOV","38.4"
"2004 DEC","39.7"
"2005 JAN","40.4"
"2005 FEB","40.6"
"2005 MAR","40.7"
"2005 APR","40.9"
"2005 MAY","41.0"
"2005 JUN","41.2"
"2005 JUL","41.2"
"2005 AUG","41.3"
"2005 SEP","41.8"
"2005 OCT","43.4"
"2005 NOV","45.0"
"2005 DEC","45.9"
"2006 JAN","46.3"
"2006 FEB","46.5"
"2006 MAR","48.0"
"2006 APR","51.0"
"2006 MAY","54.1"
"2006 JUN","55.6"
"2006 JUL","56.2"
"2006 AUG","56.8"
"2006 SEP","58.2"
"2006 OCT","61.0"
"2006 NOV","62.9"
"2006 DEC","64.1"
"2007 JAN","64.3"
"2007 FEB","64.5"
"2007 MAR","64.0"
"2007 APR","62.2"
"2007 MAY","60.2"
"2007 JUN","58.5"
"2007 JUL","57.2"
"2007 AUG","56.4"
"2007 SEP","56.0"
"2007 OCT","55.8"
"2007 NOV","55.8"
"2007 DEC","55.9"
"2008 JAN","56.2"
"2008 FEB","63.2"
"2008 MAR","63.2"
"2008 APR","64.5"
"2008 MAY","64.5"
"2008 JUN","64.5"
"2008 JUL","64.6"
"2008 AUG","72.1"
"2008 SEP","84.0"
"2008 OCT","84.2"
"2008 NOV","84.1"
"2008 DEC","84.1"
"2009 JAN","84.1"
"2009 FEB","84.1"
"2009 MAR","80.5"
"2009 APR","79.7"
"2009 MAY","79.7"
"2009 JUN","79.7"
"2009 JUL","79.3"
"2009 AUG","79.3"
"2009 SEP","79.3"
"2009 OCT","79.2"
"2009 NOV","79.2"
"2009 DEC","79.2"
"2010 JAN","79.3"
"2010 FEB","77.0"
"2010 MAR","77.0"
"2010 APR","74.8"
"2010 MAY","74.8"
"2010 JUN","74.8"
"2010 JUL","74.8"
"2010 AUG","74.8"
"2010 SEP","74.8"
"2010 OCT","74.8"
"2010 NOV","74.8"
"2010 DEC","78.2"
"2011 JAN","78.9"
"2011 FEB","79.2"
"2011 MAR","79.6"
"2011 APR","79.6"
"2011 MAY","79.6"
"2011 JUN","79.6"
"2011 JUL","79.6"
"2011 AUG","81.0"
"2011 SEP","91.5"
"2011 OCT","92.8"
"2011 NOV","93.7"
"2011 DEC","93.7"
"2012 JAN","93.7"
"2012 FEB","92.8"
"2012 MAR","92.4"
"2012 APR","91.9"
"2012 MAY","91.9"
"2012 JUN","91.9"
"2012 JUL","91.9"
"2012 AUG","91.9"
"2012 SEP","91.9"
"2012 OCT","91.9"
"2012 NOV","93.6"
"2012 DEC","98.6"
"2013 JAN","98.5"
"2013 FEB","99.5"
"2013 MAR","99.5"
"2013 APR","99.5"
"2013 MAY","99.5"
"2013 JUN","99.5"
"2013 JUL","99.5"
"2013 AUG","99.5"
"2013 SEP","99.5"
"2013 OCT","99.5"
"2013 NOV","99.5"
"2013 DEC","106.2"
"2014 JAN","105.2"
"2014 FEB","105.4"
"2014 MAR","105.1"
"2014 APR","104.6"
"2014 MAY","104.6"
"2014 JUN","104.6"
"2014 JUL","104.6"
"2014 AUG","104.6"
"2014 SEP","104.6"
"2014 OCT","104.6"
"2014 NOV","104.6"
"2014 DEC","104.6"
"2015 JAN","104.1"
"2015 FEB","103.4"
"2015 MAR","100.7"
"2015 APR","100.6"
"2015 MAY","100.0"
"2015 JUN","100.0"
"2015 JUL","100.0"
"2015 AUG","100.0"
"2015 SEP","97.8"
"2015 OCT","97.8"
"2015 NOV","97.8"
"2015 DEC","97.8"
"2016 JAN","97.8"
"2016 FEB","97.1"
"2016 MAR","94.6"
"2016 APR","93.3"
"2016 MAY","93.3"
"2016 JUN","93.3"
"2016 JUL","93.3"
"2016 AUG","93.3"
"2016 SEP","93.3"
"2016 OCT","93.3"
"2016 NOV","93.3"
"2016 DEC","93.3"
"2017 JAN","92.9"
"2017 FEB","92.9"
"2017 MAR","92.9"
"2017 APR","92.4"
"2017 MAY","92.8"
"2017 JUN","92.8"
"2017 JUL","93.3"
"2017 AUG","93.3"
"2017 SEP","93.3"
"2017 OCT","93.3"
"2017 NOV","93.4"
"2017 DEC","93.4"
"2018 JAN","93.5"
"2018 FEB","93.5"
"2018 MAR","93.5"
"2018 APR","93.8"
"2018 MAY","93.9"
"2018 JUN","96.2"
"2018 JUL","97.3"
"2018 AUG","97.3"
"2018 SEP","98.4"
"2018 OCT","100.4"
"2018 NOV","100.4"
"2018 DEC","100.4"
"2019 JAN","91.9"
"2019 FEB","92.0"
"2019 MAR","92.0"
"2019 APR","100.5"
"2019 MAY","100.5"
"2019 JUN","100.5"
"2019 JUL","100.5"
"2019 AUG","100.5"
"2019 SEP","100.5"
"2019 OCT","91.7"
"2019 NOV","91.7"
"2019 DEC","91.7"
"2020 JAN","91.7"
"2020 FEB","91.7"
"2020 MAR","91.7"
"2020 APR","88.4"
"2020 MAY","88.5"
"2020 JUN","88.5"
"2020 JUL","88.4"
"2020 AUG","88.4"
"2020 SEP","88.4"
"2020 OCT","77.6"
"2020 NOV","77.6"
"2020 DEC","77.6"
"2021 JAN","77.6"
"2021 FEB","77.6"
"2021 MAR","77.6"
"2021 APR","84.9"
"2021 MAY","84.9"
"2021 JUN","84.9"
"2021 JUL","84.9"
"2021 AUG","84.9"
"2021 SEP","84.9"
"2021 OCT","99.4"
"2021 NOV","99.4"
"2021 DEC","99.4"
"2022 JAN","99.5"
"2022 FEB","99.5"
"2022 MAR","99.5"
"2022 APR","165.9"
"2022 MAY","165.9"
"2022 JUN","165.9"
